id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000001,かげきしょうじょ!!,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::5b6c16d03475efa9f3c3a6f52bd19c0e1dddd7352e2c8771f53b3a374bd88145,2026-09-10
A00000002,SEKIRO: NO DEFEAT,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::934bb73b11940f9bcbc9f31b6460554c0cf29cd89e02b5149d2f38a1fdcc02f1,2026-09-10
A00000003,東京リベンジャーズ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6ec59276ce0984817ea05015ad5392e5aaf2252dcc01d4f3418420f47f2f24b0,2026-09-10
A00000004,ご注文はうさぎですか?,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::f655a0f93b47870357cbad4219d7c57348573a2ed55eabb705edc94ae538b1f6,2026-09-10
A00000005,かぎなど,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::50491cb739de4a46d6b87655e7859256ae5ddd700c68f39806983767464c7f40,2026-09-10
A00000006,勇者王ガオガイガー,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6f25f4bd214cd94f7a3532a9ba8fef5541e85c9fd8526cbc2e3359d8bf3ab34b,2026-09-10
A00000007,鬼滅の刃 遊郭編,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d0bd929711e873d427b641f0490177e6912f77723b4d6d0b18f0dbe2f9a83daa,2026-09-10
A00000008,SPY×FAMILY,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::c9387c625f22ced6143dbdadff362ac504851423cffd8db849e9ebc94de03c97,2026-09-10
A00000009,魔都精兵のスレイブ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::5a0bf9895515c3e4bf48a3793f16f402fb70a8a31eef4cf101a0095c269ecfdc,2026-09-10
A00000010,お隣の天使様にいつの間にか駄目人間にされていた件,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::7f0357cc0d77043075cdd3c62987feb452467e51ee6f53aa38323da2846fbf7d,2026-09-10
A00000011,劇場版 呪術廻戦 0,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-24,,,,,,,,,,,discovery-key::9073a2028d142459d27b9e0cd538bd848c97090d218dc20bda7616c2b3ec0c66,2026-09-10
A00000012,のんのんびより のんすとっぷ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::b5100c5845ec67b2365d745f95462542ddba0432e599f260ed52f4e66dadbe05,2026-09-10
A00000013,【推しの子】,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::c50fd72a33849e2177049ce52f643e3a06ddecc6e6768071bd6e95fdb4c3e057,2026-09-10
A00000014,アオアシ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d1e67397b3f82b62ad95347f815c884a850af718cc4aa12ae5da6707f39fa248,2026-09-10
A00000015,るろうに剣心 -明治剣客浪漫譚-,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::5d894ba9b7363bc0aa426997019351753e6b40cbe7d82eed310423dc6775a184,2026-09-10
A00000016,この素晴らしい世界に祝福を!,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::accd722db7f7794960df76d2011f1cfe4cd2d0ced044d5ed3598424f28730312,2026-09-10
A00000017,とんがり帽子のアトリエ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::564f5d49c8dd3c0da44207e881e5eb5eb6cefa84d6546d74652535fe3d0ed9f0,2026-09-10
A00000018,キン肉マン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::fddc8801a73c7d2c7578e5bd6b8163e7bdc155ab14869d96cbb46a84d622d214,2026-09-10
A00000019,異世界失格,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e820b051dda9cb869bf571b9817eaf0af44a8f831d160e7efb1d61768a46f3de,2026-09-10
A00000020,邪神ちゃんドロップキック,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::2cb7631f150a7df2f4a1830c69f797640f4b1e6a20203f9b90a309de5e5ed981,2026-09-10
A00000021,邪神ちゃんドロップキックX,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::65c7315c9db2818833e03c2cf8b5d2a048a4526494621ba6481b247ba4027d19,2026-09-10
A00000022,響け!ユーフォニアム3,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::a03e35ac1fcebeabc5364578c3f493c2005f48f63c932f50635e80ad7cdb6111,2026-09-10
